trans_id,account_id,Date,Type,operation,amount,balance,Purpose,bank,account_partern_id
732448,2503,2017-12-31,Withdrawal,Withdrawal in cash,15,34012.5,Payment on Statement,,
733949,2508,2017-12-31,Withdrawal,Withdrawal in cash,15,19847.5,Payment on Statement,,
729746,2494,2017-12-31,Withdrawal,Withdrawal in cash,15,56361.3,Payment on Statement,,
731889,2501,2017-12-31,Withdrawal,Withdrawal in cash,15,46480.2,Payment on Statement,,
732887,2504,2017-12-31,Withdrawal,Withdrawal in cash,15,67114.6,Payment on Statement,,
730266,2496,2017-12-31,Withdrawal,Withdrawal in cash,15,16704.7,Payment on Statement,,
730727,2497,2017-12-31,Withdrawal,Withdrawal in cash,15,18062,Payment on Statement,,
801183,2732,2017-12-31,Withdrawal,Withdrawal in cash,15,24206.8,Payment on Statement,,
803480,2738,2017-12-31,Withdrawal,Withdrawal in cash,15,19245.2,Payment on Statement,,
803942,2739,2017-12-31,Withdrawal,Withdrawal in cash,15,24480.9,Payment on Statement,,
801701,2733,2017-12-31,Withdrawal,Withdrawal in cash,15,22048.6,Payment on Statement,,
804555,2741,2017-12-31,Withdrawal,Withdrawal in cash,15,62333.1,Payment on Statement,,
804219,2740,2017-12-31,Withdrawal,Withdrawal in cash,15,80474.1,Payment on Statement,,
802776,2736,2017-12-31,Withdrawal,Withdrawal in cash,15,27754.3,Payment on Statement,,
1044057,3570,2017-12-31,Withdrawal,Withdrawal in cash,15,26861.2,Payment on Statement,,
1042818,3566,2017-12-31,Withdrawal,Withdrawal in cash,3900,25940.2,,,
1044549,3571,2017-12-31,Withdrawal,Withdrawal in cash,15,24980.5,Payment on Statement,,
1040809,3558,2017-12-31,Withdrawal,Withdrawal in cash,15,57148.1,Payment on Statement,,
1045484,3575,2017-12-31,Withdrawal,Withdrawal in cash,15,32780.3,Payment on Statement,,
1042752,3566,2017-12-31,Withdrawal,Withdrawal in cash,15,29840.2,Payment on Statement,,
3564961,1047,2017-12-31,Credit,Interest Credit,137,35892.8,Interest Credited,,
3565400,1057,2017-12-31,Credit,Interest Credit,68,14581.6,Interest Credited,,
3562960,982,2017-12-31,Credit,Interest Credit,114,24029.5,Interest Credited,,
3563640,1000,2017-12-31,Credit,Interest Credit,206,39682.3,Interest Credited,,
3563201,989,2017-12-31,Credit,Interest Credit,96,22389.2,Interest Credited,,
3565671,1069,2017-12-31,Credit,Interest Credit,85,16592,Interest Credited,,
3565548,1062,2017-12-31,Credit,Interest Credit,280,66106.3,Interest Credited,,
3563041,985,2017-12-31,Credit,Interest Credit,67,15654.1,Interest Credited,,
3563862,1006,2017-12-31,Credit,Interest Credit,128,31089.7,Interest Credited,,
3564276,1019,2017-12-31,Credit,Interest Credit,154,36807.6,Interest Credited,,
3562368,965,2017-12-31,Credit,Interest Credit,89,22369.4,Interest Credited,,
3565771,1071,2017-12-31,Credit,Interest Credit,235,75514.1,Interest Credited,,
3566116,1080,2017-12-31,Credit,Interest Credit,230,49767.5,Interest Credited,,
3562563,973,2017-12-31,Credit,Interest Credit,27,12161.5,Interest Credited,,
3562820,979,2017-12-31,Credit,Interest Credit,148,35649.4,Interest Credited,,
3566056,1079,2017-12-31,Credit,Interest Credit,118,26165.7,Interest Credited,,
3564748,1039,2017-12-31,Credit,Interest Credit,421,68940.3,Interest Credited,,
3563307,991,2017-12-31,Credit,Interest Credit,194,42320.6,Interest Credited,,
3564383,1022,2017-12-31,Credit,Interest Credit,55,23723.5,Interest Credited,,
3562750,978,2017-12-31,Credit,Interest Credit,159,39727.9,Interest Credited,,
3565174,1051,2017-12-31,Credit,Interest Credit,142,36020.8,Interest Credited,,
3565299,1054,2017-12-31,Credit,Interest Credit,145,36714.4,Interest Credited,,
3563792,1005,2017-12-31,Credit,Interest Credit,274,57440.1,Interest Credited,,
3564205,1018,2017-12-31,Credit,Interest Credit,97,23339.5,Interest Credited,,
