trans_id,account_id,Date,Type,operation,amount,balance,Purpose,bank,account_partern_id
732911,2504,2019-12-31,Withdrawal,Withdrawal in cash,15,29277.5,Payment on Statement,Sky Bank,
730751,2497,2019-12-31,Withdrawal,Withdrawal in cash,15,14478.6,Payment on Statement,Sky Bank,
732472,2503,2019-12-31,Withdrawal,Withdrawal in cash,15,29326.3,Payment on Statement,Sky Bank,
733412,2506,2019-12-31,Withdrawal,Withdrawal in cash,100,16345.6,Payment on Statement,Sky Bank,
733207,2505,2019-12-31,Withdrawal,Withdrawal in cash,15,24266.9,Payment on Statement,Sky Bank,
729770,2494,2019-12-31,Withdrawal,Withdrawal in cash,15,40061.7,Payment on Statement,Sky Bank,
731913,2501,2019-12-31,Withdrawal,Withdrawal in cash,15,56655,Payment on Statement,Sky Bank,
730290,2496,2019-12-31,Withdrawal,Withdrawal in cash,15,18059.7,Payment on Statement,Sky Bank,
731331,2499,2019-12-31,Withdrawal,Withdrawal in cash,15,39940.9,Payment on Statement,Sky Bank,
733973,2508,2019-12-31,Withdrawal,Withdrawal in cash,15,14639.3,Payment on Statement,Sky Bank,
731042,2498,2019-12-31,Withdrawal,Withdrawal in cash,15,29881.6,Payment on Statement,Sky Bank,
799580,2726,2019-12-31,Withdrawal,Withdrawal in cash,15,41797.3,Payment on Statement,Sky Bank,
803075,2737,2019-12-31,Withdrawal,Withdrawal in cash,15,63650.8,Payment on Statement,Sky Bank,
799825,2727,2019-12-31,Withdrawal,Withdrawal in cash,15,29917.1,Payment on Statement,Sky Bank,
801725,2733,2019-12-31,Withdrawal,Withdrawal in cash,15,32085.6,Payment on Statement,Sky Bank,
800272,2729,2019-12-31,Withdrawal,Withdrawal in cash,15,51760.7,Payment on Statement,Sky Bank,
802800,2736,2019-12-31,Withdrawal,Withdrawal in cash,15,13895.5,Payment on Statement,Sky Bank,
800745,2731,2019-12-31,Withdrawal,Withdrawal in cash,15,48576.4,Payment on Statement,Sky Bank,
803504,2738,2019-12-31,Withdrawal,Withdrawal in cash,15,26823.3,Payment on Statement,Sky Bank,
804243,2740,2019-12-31,Withdrawal,Withdrawal in cash,15,19072,Payment on Statement,Sky Bank,
803966,2739,2019-12-31,Withdrawal,Withdrawal in cash,15,14743.2,Payment on Statement,Sky Bank,
800520,2730,2019-12-31,Withdrawal,Withdrawal in cash,15,17652.7,Payment on Statement,Sky Bank,
801207,2732,2019-12-31,Withdrawal,Withdrawal in cash,15,105886.4,Payment on Statement,Sky Bank,
804579,2741,2019-12-31,Withdrawal,Withdrawal in cash,15,57641.8,Payment on Statement,Sky Bank,
1044081,3570,2019-12-31,Withdrawal,Withdrawal in cash,15,42546.1,Payment on Statement,Sky Bank,
1045949,3576,2019-12-31,Withdrawal,Withdrawal in cash,15,27458.9,Payment on Statement,Sky Bank,
