trans_id,account_id,Date,Type,operation,amount,balance,Purpose,bank,account_partern_id
730807,2497,2018-12-31,Withdrawal,Withdrawal in cash,3400,13754.8,,,
732899,2504,2018-12-31,Withdrawal,Withdrawal in cash,15,39024.4,Payment on Statement,,
733961,2508,2018-12-31,Withdrawal,Withdrawal in cash,15,23697.9,Payment on Statement,,
729758,2494,2018-12-31,Withdrawal,Withdrawal in cash,15,56346.2,Payment on Statement,,
732460,2503,2018-12-31,Withdrawal,Withdrawal in cash,15,35595.2,Payment on Statement,,
730739,2497,2018-12-31,Withdrawal,Withdrawal in cash,15,13740.2,Payment on Statement,,
731901,2501,2018-12-31,Withdrawal,Withdrawal in cash,15,50135.9,Payment on Statement,,
730278,2496,2018-12-31,Withdrawal,Withdrawal in cash,15,18325.4,Payment on Statement,,
801195,2732,2018-12-31,Withdrawal,Withdrawal in cash,15,75225.4,Payment on Statement,,
803954,2739,2018-12-31,Withdrawal,Withdrawal in cash,15,15925.1,Payment on Statement,,
804231,2740,2018-12-31,Withdrawal,Withdrawal in cash,15,41253,Payment on Statement,,
800260,2729,2018-12-31,Withdrawal,Withdrawal in cash,15,36122.7,Payment on Statement,,
803492,2738,2018-12-31,Withdrawal,Withdrawal in cash,15,32185.2,Payment on Statement,,
802788,2736,2018-12-31,Withdrawal,Withdrawal in cash,15,14760.2,Payment on Statement,,
799568,2726,2018-12-31,Withdrawal,Withdrawal in cash,15,42204,Payment on Statement,,
801713,2733,2018-12-31,Withdrawal,Withdrawal in cash,15,26017.3,Payment on Statement,,
804567,2741,2018-12-31,Withdrawal,Withdrawal in cash,15,23774,Payment on Statement,,
1043259,3567,2018-12-31,Withdrawal,Withdrawal in cash,15,41906.4,Payment on Statement,,
1042764,3566,2018-12-31,Withdrawal,Withdrawal in cash,15,26919.7,Payment on Statement,,
1045496,3575,2018-12-31,Withdrawal,Withdrawal in cash,15,39300,Payment on Statement,,
1040889,3558,2018-12-31,Withdrawal,Withdrawal in cash,21500,93694.8,,,
1044069,3570,2018-12-31,Withdrawal,Withdrawal in cash,15,38300.2,Payment on Statement,,
1045937,3576,2018-12-31,Withdrawal,Withdrawal in cash,15,24273.2,Payment on Statement,,
1040821,3558,2018-12-31,Withdrawal,Withdrawal in cash,15,93680.2,Payment on Statement,,
1044561,3571,2018-12-31,Withdrawal,Withdrawal in cash,15,28586.8,Payment on Statement,,
3563874,1006,2018-12-31,Credit,Interest Credit,139,32892,Interest Credited,,
3564150,1017,2018-12-31,Credit,Interest Credit,250,63198.3,Interest Credited,,
3565311,1054,2018-12-31,Credit,Interest Credit,146,34761.4,Interest Credited,,
3564842,1044,2018-12-31,Credit,Interest Credit,70,22756.1,Interest Credited,,
3564692,1038,2018-12-31,Credit,Interest Credit,62,14816.5,Interest Credited,,
3563319,991,2018-12-31,Credit,Interest Credit,312,76589.3,Interest Credited,,
3562901,981,2018-12-31,Credit,Interest Credit,236,51110.1,Interest Credited,,
3564098,1016,2018-12-31,Credit,Interest Credit,219,52456.6,Interest Credited,,
3564760,1039,2018-12-31,Credit,Interest Credit,221,56868.8,Interest Credited,,
3563053,985,2018-12-31,Credit,Interest Credit,73,17448,Interest Credited,,
3565412,1057,2018-12-31,Credit,Interest Credit,61,15017.8,Interest Credited,,
3563358,992,2018-12-31,Credit,Interest Credit,113,34430.4,Interest Credited,,
3562455,968,2018-12-31,Credit,Interest Credit,55,19596.2,Interest Credited,,
3563652,1000,2018-12-31,Credit,Interest Credit,201,47233.3,Interest Credited,,
3564288,1019,2018-12-31,Credit,Interest Credit,222,53450.6,Interest Credited,,
3563990,1011,2018-12-31,Credit,Interest Credit,121,30014,Interest Credited,,
3563942,1009,2018-12-31,Credit,Interest Credit,316,51460.3,Interest Credited,,
3563160,988,2018-12-31,Credit,Interest Credit,130,29877.3,Interest Credited,,
3565186,1051,2018-12-31,Credit,Interest Credit,180,47182.4,Interest Credited,,
3565124,1050,2018-12-31,Credit,Interest Credit,225,60814.9,Interest Credited,,
3562832,979,2018-12-31,Credit,Interest Credit,227,54775.5,Interest Credited,,
3564395,1022,2018-12-31,Credit,Interest Credit,200,45731.7,Interest Credited,,
